"database_id","scientificName","family","subfamily","genus","subgenus","subspecies","species","specificEpithet","infraspecificEpithet","acceptedNameUsage","taxonRank","scientificNameAuthorship","identificationQualifier","higherClassification","identificationReferences","typeStatus","previousIdentifications","verbatimIdentification","identifiedBy","dateIdentified","decimalLatitude","decimalLongitude","stateProvince","continent","locality","island","county","municipality","level0Gid","level0Name","level1Gid","level1Name","license","issue","eventDate","eventTime","day","month","year","basisOfRecord","country","type","occurrenceStatus","recordNumber","recordedBy","eventID","Location","samplingProtocol","samplingEffort","individualCount","organismQuantity","coordinatePrecision","coordinateUncertaintyInMeters","spatiallyValid","catalogNumber","gbifID","datasetID","institutionCode","datasetName","otherCatalogNumbers","occurrenceID","taxonKey","coreid","recordId","collectionID","verbatimScientificName","verbatimEventDate","associatedTaxa","associatedOrganisms","fieldNotes","sex","rights","rightsHolder","accessRights","associatedReferences","bibliographicCitation","references","informationWithheld","isDuplicateOf","hasCoordinate","hasGeospatialIssues","assertions","occurrenceYear","id","duplicateStatus","associatedOccurrences","locationRemarks","dataSource","verbatim_scientificName",".scientificName_empty",".coordinates_empty",".coordinates_outOfRange",".basisOfRecords_notStandard","countryCO","country_suggested","countryCode",".coordinates_country_inconsistent",".occurrenceAbsent",".unLicensed",".GBIFflags",".summary",".uncer_terms",".invalidName"
"Dorey_data_2837458","Bombus lapidarius (Linnaeus, 1758)","Apidae","Apinae","Bombus",NA,NA,"Bombus lapidarius","lapidarius",NA,NA,"SPECIES","(Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,"J. Luig","1994-01-01T00:00:00",58.910801,22.219033,NA,NA,"Kõpu",NA,"Hiiu maakond","Hiiumaa vald","EST","Estonia","EST.2_1","Hiiu","CC_BY_NC_4_0","COORDINATE_ROUNDED","1990/08/24 00:00:00",NA,24,8,1990,"PRESERVED_SPECIMEN","Estonia","PhysicalObject","PRESENT",NA,"Kaupo Elberg","https://plutof.ut.ee/#/event/view/312232",NA,NA,NA,NA,NA,NA,2000,NA,"TUZ240274",3017392442,NA,"UTE",NA,NA,"57179",1340301,NA,NA,"http://grscicoll.org/institutional-collection/zoological-museum","Bombus lapidarius (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,"Unique",NA,NA,"GBIF_Apidae",NA,TRUE,TRUE,TRUE,TRUE,"Estonia","Estonia","EE",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Dorey_data_3047859","Apis mellifera Linnaeus, 1758","Apidae","Apinae","Apis",NA,NA,"Apis mellifera","mellifera",NA,NA,"SPECIES","Linnaeus, 1758",NA,"Animalia|Apidae",NA,NA,NA,NA,NA,NA,52.3,5.6,"Gelderland","EUROPE","Ermelo - Tonsel",NA,NA,NA,"NLD","Netherlands","NLD.4_1","Gelderland","CC_BY_NC_4_0","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","2020/09/18 00:00:00","16:34",18,9,2020,"HUMAN_OBSERVATION","Bonaire, saint eustatius and saba",NA,"PRESENT",NA,NA,NA,NA,NA,NA,1,NA,NA,5000,NA,"OBS.200307710",3726652653,NA,NA,NA,NA,"https://observation.org/observation/200307710",1341976,NA,NA,NA,"Apis mellifera Linnaeus, 1758",NA,NA,NA,NA,NA,NA,"Stichting Observation International",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.200307710",NA,NA,TRUE,FALSE,NA,NA,NA,"Unique",NA,NA,"GBIF_Apidae",NA,TRUE,TRUE,TRUE,TRUE,"Netherlands","Bonaire, Sint Eustatius and Saba","BQ",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"Dorey_data_3226809","Bombus terrestris (Linnaeus, 1758)","Apidae","Apinae","Bombus",NA,NA,"Bombus terrestris","terrestris",NA,NA,"SPECIES","(Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,"welfare, mark",NA,55.158966,-1.703347,"England",NA,"morpeth west",NA,NA,NA,"GBR","United Kingdom","GBR.1_1","England","CC_BY_4_0","FOOTPRINT_WKT_INVALID","2020/09/03 00:00:00",NA,3,9,2020,"HUMAN_OBSERVATION","United Kingdom",NA,"PRESENT",NA,"Welfare, M. Mark","12541052",NA,NA,NA,5,NA,NA,1414.2,NA,NA,3038298632,NA,NA,NA,NA,"18619224",1340503,NA,NA,NA,"Bombus terrestris (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,"Biological Records Centre",NA,NA,NA,NA,"OSGB Grid Reference NZ18X",NA,TRUE,FALSE,NA,NA,NA,"Unique",NA,NA,"GBIF_Apidae",NA,TRUE,TRUE,TRUE,TRUE,"United Kingdom",NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Dorey_data_3383514","Bombus terrestris (Linnaeus, 1758)","Apidae","Apinae","Bombus",NA,NA,"Bombus terrestris","terrestris",NA,NA,"SPECIES","(Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,NA,47.06295,7.07663,"Ne",NA,NA,NA,NA,NA,"CHE","Switzerland","CHE.13_1","Neuchâtel","CC_BY_4_0",NA,"2014/05/08 00:00:00",NA,8,5,2014,"HUMAN_OBSERVATION","Switzerland",NA,"PRESENT",NA,"Ducommun Alain",NA,NA,"Sight sampling",NA,NA,NA,NA,3535,NA,"CSCF-API-291902",3003312087,"CSCF-API",NA,"Swiss National Apoidea Databank",NA,"CSCF-API-291902",1340503,NA,NA,NA,"Bombus terrestris (Linnaeus, 1758)",NA,NA,NA,NA,"FEMALE",NA,"Info Fauna - Centre Suisse de Cartographie de la Faune",NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,"Unique",NA,NA,"GBIF_Apidae",NA,TRUE,TRUE,TRUE,TRUE,"Switzerland","Switzerland","CH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Dorey_data_3542710","Bombus lapidarius (Linnaeus, 1758)","Apidae","Apinae","Bombus",NA,NA,"Bombus lapidarius","lapidarius",NA,NA,"SPECIES","(Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,"Van Keer K.",NA,51.19607,4.396196,"antwerpen",NA,"Antwerpen - Waalse Kaai (Dg)",NA,NA,"Antwerpen","BEL","Belgium","BEL.2_1","Vlaanderen","CC_BY_4_0","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","2013/07/21 00:00:00",NA,21,7,2013,"MACHINE_OBSERVATION","Belgium",NA,"PRESENT","131014","Van Keer K.",NA,NA,NA,NA,1,NA,1e-5,3535,NA,NA,2520817743,NA,NA,"BelBEES2018",NA,"BDFGM_2548307",1340301,NA,NA,NA,"Bombus lapidarius (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,"Natuurpunt",NA,NA,"Wild bees of Belgium v.2019_06_29 UMons P.Rasmont D.Michez, UGent G.Smagghe D.De Graaf, UNamur N.Dendoncker, ULiege M.Dufrene, RBIN JL Boeve A Pauly, Natuurpunt.be JDHaeseler, Natagora JLPaquet,  pierre.rasmont@umons.ac.be",NA,NA,NA,TRUE,FALSE,NA,NA,NA,"Unique",NA,NA,"GBIF_Apidae",NA,TRUE,TRUE,TRUE,TRUE,"Belgium","Belgium","BE",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Dorey_data_3771559","Bombus pratorum (Linnaeus, 1761)","Apidae","Apinae","Bombus",NA,NA,"Bombus pratorum","pratorum",NA,NA,"SPECIES","(Linnaeus, 1761)",NA,NA,NA,NA,NA,NA,NA,NA,59.064364,11.573463,"Viken",NA,"Prestebakke",NA,NA,"Halden","NOR","Norway","NOR.2_1","Ãstfold","CC_BY_4_0","COORDINATE_ROUNDED;FOOTPRINT_SRS_INVALID","2009/07/28 00:00:00","2009-07-28 11:07:00/2009-07-28 11:19:00",28,7,2009,"HUMAN_OBSERVATION","Norway","Event","ABSENT",NA,NA,"428d9b74-ec66-4908-aed2-02a096cc0b3e",NA,"Sweep netting",NA,0,NA,NA,25,NA,NA,3739395510,NA,NA,NA,NA,"7400d25d-3173-42b5-b637-74dafe13a434",1340305,NA,NA,NA,"Bombus pratorum (Linnaeus, 1761)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,"Unique",NA,"In the original data this is known as transect: 2206-2-4","GBIF_Apidae",NA,TRUE,TRUE,TRUE,TRUE,"Norway","Norway","NO",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Dorey_data_3952491","Apis mellifera Linnaeus, 1758","Apidae","Apinae","Apis",NA,NA,"Apis mellifera","mellifera",NA,NA,"SPECIES","Linnaeus, 1758",NA,NA,NA,NA,NA,NA,"warwickestates","2022-07-07T12:46:18",52.377493,-1.5589,"England",NA,NA,NA,NA,NA,"GBR","United Kingdom","GBR.1_1","England","CC_BY_NC_4_0","COORDINATE_ROUNDED","2022/07/07 13:42:58","12:42:58Z",7,7,2022,"HUMAN_OBSERVATION","United Kingdom",NA,"PRESENT",NA,"warwickestates",NA,NA,NA,NA,NA,NA,NA,21,NA,"125155790",3888778480,NA,"iNaturalist","iNaturalist research-grade observations",NA,"https://www.inaturalist.org/observations/125155790",1341976,NA,NA,NA,"Apis mellifera Linnaeus, 1758","2022-07-07 13:42:58",NA,NA,NA,NA,NA,"warwickestates",NA,NA,NA,"https://www.inaturalist.org/observations/125155790",NA,NA,TRUE,FALSE,NA,NA,NA,"Unique",NA,NA,"GBIF_Apidae",NA,TRUE,TRUE,TRUE,TRUE,"United Kingdom",NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Dorey_data_4149318","Apis mellifera Linnaeus, 1758","Apidae","Apinae","Apis",NA,NA,"Apis mellifera","mellifera",NA,NA,"SPECIES","Linnaeus, 1758",NA,NA,NA,NA,NA,NA,NA,NA,47.51303,0.2716,NA,NA,NA,NA,"Indre-et-Loire","Saint-Laurent-de-Lin","FRA","France","FRA.4_1","Centre-Val de Loire","CC_BY_4_0","RECORDED_DATE_INVALID",NA,NA,NA,NA,NA,"HUMAN_OBSERVATION","France",NA,"PRESENT",NA,"Cocquempot C. ()","abb6c941-8933-4149-91fa-138e456be17c",NA,NA,NA,NA,NA,NA,3628,NA,NA,3846868322,"B6320C7D-9740-1BBC-E053-5014A8C09B45",NA,NA,NA,"abb6c941-8933-4149-91fa-138e456be17c",1341976,NA,NA,NA,"Apis mellifera Linnaeus, 1758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,"Unique",NA,NA,"GBIF_Apidae",NA,TRUE,TRUE,TRUE,TRUE,"France","France","FR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Dorey_data_4366920","Bombus balteatus Dahlbom, 1832","Apidae","Apinae","Bombus",NA,NA,"Bombus balteatus","balteatus",NA,NA,"SPECIES","Dahlbom, 1832",NA,NA,NA,NA,NA,NA,NA,NA,63.412023,10.390059,"Trøndelag",NA,"Sorgenfri",NA,NA,"Trondheim","NOR","Norway","NOR.15_1","Sør-Trøndelag","CC_BY_4_0","COORDINATE_ROUNDED;FOOTPRINT_SRS_INVALID","2015/06/28 00:00:00","2015-06-28 15:20:00/2015-06-28 15:24:00",28,6,2015,"HUMAN_OBSERVATION","Norway","Event","ABSENT",NA,NA,"5d99aeba-93fd-4920-bf04-a39f3bd373d0",NA,"Sweep netting",NA,0,NA,NA,25,NA,NA,3739763201,NA,NA,NA,NA,"9e105217-8eda-4760-91d2-efa77b94f0b1",1340403,NA,NA,NA,"Bombus balteatus Dahlbom, 1832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,"Unique",NA,"In the original data this is known as transect: 2033-6","GBIF_Apidae",NA,TRUE,TRUE,TRUE,TRUE,"Norway","Norway","NO",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Dorey_data_4842533","Apis mellifera Linnaeus, 1758","Apidae","Apinae","Apis",NA,NA,"Apis mellifera","mellifera",NA,NA,"SPECIES","Linnaeus, 1758",NA,NA,NA,NA,NA,NA,"Lucy Cash","2022-07-28T15:31:23",20.968145,-89.629873,"Yucatán",NA,NA,NA,NA,NA,"MEX","Mexico","MEX.31_1","Yucatán","CC_BY_NC_4_0","COORDINATE_ROUNDED","2022/07/28 09:53:24","14:53:24Z",28,7,2022,"HUMAN_OBSERVATION","Mexico",NA,"PRESENT",NA,"Lucy Cash",NA,NA,NA,NA,NA,NA,NA,3970,NA,"128308505",3881476906,NA,"iNaturalist","iNaturalist research-grade observations",NA,"https://www.inaturalist.org/observations/128308505",1341976,NA,NA,NA,"Apis mellifera Linnaeus, 1758","2022-07-28 09:53:24",NA,NA,NA,NA,NA,"Lucy Cash",NA,NA,NA,"https://www.inaturalist.org/observations/128308505",NA,NA,TRUE,FALSE,NA,NA,NA,"Unique",NA,NA,"GBIF_Apidae",NA,TRUE,TRUE,TRUE,TRUE,"Mexico","Mexico","MX",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Dorey_data_9505674","Agapostemon tyleri Cockerell, 1917","Halictidae","Halictinae","Agapostemon",NA,NA,"Agapostemon tyleri","tyleri",NA,NA,NA,"Cockerell, 1917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arizona",NA,"Huachuca City, 5 mi NNW",NA,"Cochise",NA,NA,NA,NA,NA,NA,NA,"1988/10/13 00:00:00",NA,13,10,1988,"PreservedSpecimen","United states",NA,NA,NA,"T.L. Griswold",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BBSL695152",NA,NA,"USDA-ARS",NA,NA,"658611920",NA,"a7325665-ac45-4924-be0e-2a5931a89137",NA,NA,"Agapostemon tyleri Cockerell, 1917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duplicate",NA,NA,"iDigBio_halictidae",NA,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
